,name,Rating,Review count,Price range,Category,Neighbourhood,nb_photos,street,postal_code
50,O’Toxo 3 Hermanos,4.5,92,[12 - 33],Spanish,El Raval,71,"Carrer del Carme, 59",08001 Barcelona
51,Bilbao Berria,4.0,152,[12 - 33],Spanish,Barri Gòtic,146,"Plaça Nova, 3",08002 Barcelona
52,La Cuina de Laietana,4.5,23,[12 - 33],Mediterranean,Barri Gòtic,17,"Via Laietana, 71",08003 Barcelona
53,Macchina,4.5,32,under 11,Bars,L'Eixample,359,"Carrer d'Astúries, 17",08012 Barcelona
54,Macchina,4.5,82,under 11,Italian,Gràcia,14,"Carrer d'Astúries, 17",08012 Barcelona
55,Bo de Boqueria,5.0,15,,Spanish,El Raval,146,"Carrer Petxina, 5-7",08001 Barcelona
56,Caravelle,4.5,223,[12 - 33],Breakfast & Brunch,El Raval,120,"Carrer del Pintor Fortuny, 31",08001 Barcelona
57,La Bodegueta,4.0,36,[34 - 66],Spanish,L'Eixample,32,"Rambla de Catalunya, 100",08002 Barcelona
58,Raó,4.5,32,,Mediterranean,El Raval,166,"Carrer de les Sitges, 3",08001 Barcelona
59,Terrace la Isabela,4.5,2,[34 - 66],Spanish,El Raval,15,"Les Rambles, 109",08002 Barcelona
60,El Vaso de Oro,4.5,178,[12 - 33],Tapas Bars,Barceloneta,172,"Carrer de Balboa, 6",08003 Barcelona
61,9 Nine,5.0,45,[34 - 66],Mediterranean,L'Eixample,30,"Carrer València, 334",08009 Barcelona
62,Paco Alcalde,4.5,41,[12 - 33],Seafood,Barceloneta,1380,"Carrer de l'Almirall Aixada, 12",08003 Barcelona
63,Xian,4.5,11,,Chinese,Barri Gòtic,138,"Carrer de Ferran, 39",
64,Casa Alfonso,4.0,108,[12 - 33],Tapas Bars,L'Eixample,104,"Carrer de Roger de Llúria, 6",08010 Barcelona
65,La Caravana,5.0,15,under 11,Middle Eastern,Gràcia,124,"Carrer de Mozart, 15",08012 Barcelona
66,Mosquito,4.0,144,under 11,Asian Fusion,"Sant Pere, Santa Caterina i la Ribera-Born",564,"Carrer dels Carders, 46",08003 Barcelona
67,Nubar,4.5,4,,Spanish,L'Eixample,146,"Passeig de Gràcia, 53",08007 Barcelona
68,Quimet & Quimet,4.5,454,[12 - 33],Tapas Bars,El Poble-sec,332,"Carrer del Poeta Cabanyes, 25",08004 Barcelona
69,La Bombeta,4.5,84,[12 - 33],Tapas Bars,Barceloneta,756,"Carrer de la Maquinista, 3",08003 Barcelona
70,Billy Brunch,5.0,42,,Breakfast & Brunch,L'Eixample,86,"Carrer de Bailèn, 115",08009 Barcelona
71,Billy Brunch,5.0,42,,Breakfast & Brunch,L'Eixample,,"Carrer de Bailèn, 115",08009 Barcelona
72,Citizen Café,4.5,53,[12 - 33],Breakfast & Brunch,L'Eixample,649,"Plaça d'Urquinaona, 4",08010 Barcelona
73,Pinotxo Bar,4.5,218,[12 - 33],Spanish,El Raval,193,"La Rambla, 91",08002 Barcelona
74,Gata Mala,5.0,140,under 11,Tapas Bars,Gràcia,13,"Carrer de Rabassa, 37",08024 Barcelona
75,Elsa y Fred,4.5,149,[12 - 33],Breakfast & Brunch,"Sant Pere, Santa Caterina i la Ribera-Born",87,"Carrer del Rec Comtal, 11",08003 Barcelona
76,Flax & Kale,4.0,265,[12 - 33],Spanish,El Raval,77,"Carrer dels Tallers, 74",08001 Barcelona
77,La Tagliatella,4.0,72,[12 - 33],Italian,L'Eixample,84,"Carrer de Pau Claris, 118",08009 Barcelona
78,Milk Bar & Bistro,4.5,431,[12 - 33],American (Traditional),Barri Gòtic,38,"Carrer d'en Gignàs, 21",08002 Barcelona
79,Eat My Trip,4.5,73,[12 - 33],Breakfast & Brunch,L'Eixample,139,"Carrer del Consell de Cent, 378",08009 Barcelona
80,Eat My Trip,4.5,73,[12 - 33],Breakfast & Brunch,L'Eixample,46,"Carrer del Consell de Cent, 378",08009 Barcelona
81,Chongqing Liuyishou Hotpot,4.5,5,,Chinese,L'Eixample,1114,"Carrer del Consell de Cent, 303",08007 Barcelona
82,Benzina,4.5,13,,Italian,L'Eixample,254,"Passatge de Pere Calders, 6",08015 Barcelona
83,El Arbol Brunch,4.5,39,[12 - 33],Modern European,L'Eixample,534,"Carrer d' Aribau, 36",08011 Barcelona
84,Las Sorrentinas,4.5,44,under 11,Italian,"Sant Pere, Santa Caterina i la Ribera-Born",11,"Plaça de Sant Pere, 5",08003 Barcelona
85,Luigi,4.5,43,[12 - 33],Pizza,L'Eixample,188,"Carrer de Roger de Llúria, 50",08009 Barcelona
86,Chen Ji,4.0,98,under 11,Chinese,L'Eixample,,"Carrer d'Ali Bei, 65",08013 Barcelona
87,El Quim de la Boqueria,4.5,253,[12 - 33],Tapas Bars,El Raval,132,"La Rambla, 91",
88,Rosa Negra,4.0,230,[12 - 33],Mexican,"Sant Pere, Santa Caterina i la Ribera-Born",52,"Via Laietana, 46",08003 Barcelona
89,La Paradeta,4.5,44,[34 - 66],Seafood,L'Eixample,194,"Passatge de Simó, 18",08025 Barcelona
90,La Paradeta,4.5,155,[12 - 33],Seafood,"Sant Pere, Santa Caterina i la Ribera-Born",148,"Passatge de Simó, 18",08025 Barcelona
91,La Paradeta,4.5,44,[34 - 66],Seafood,L'Eixample,41,"Passatge de Simó, 18",08025 Barcelona
92,La Paradeta,4.5,155,[12 - 33],Seafood,"Sant Pere, Santa Caterina i la Ribera-Born",55,"Passatge de Simó, 18",08025 Barcelona
93,La Paradeta,4.5,206,[12 - 33],Seafood,L'Eixample,254,"Passatge de Simó, 18",08025 Barcelona
94,Babula,5.0,2,,Cocktail Bars,L'Eixample,118,"Carrer de Pau Claris, 139",08009 Barcelona
95,Batuar,4.5,8,over 67,Mediterranean,L'Eixample,,Cotton House,
96,La Alcoba Azul,4.5,132,[12 - 33],Tapas Bars,Barri Gòtic,525,"Carrer de Sant Domenec del Call, 14",08002 Barcelona
97,Doña Rosa,4.5,2,,Mediterranean,El Raval,107,,
98,Doña Rosa,4.5,2,,Mediterranean,El Raval,115,,
99,Lasarte,4.5,67,over 67,Spanish,L'Eixample,,,
100,Paella Bar,4.0,44,[12 - 33],Spanish,El Raval,90,"Pòrtics de la Boqueria, s/n",
101,Paella Bar,4.0,44,[12 - 33],Spanish,El Raval,11,"Pòrtics de la Boqueria, s/n",
102,La Lluna,4.5,28,[12 - 33],Spanish,Barri Gòtic,130,"Carrer de Santa Anna, 20",08002 Barcelona
103,Tantarantana,4.5,63,[12 - 33],Spanish,"Sant Pere, Santa Caterina i la Ribera-Born",23,"Carrer Tantarantana, 24",08003 Barcelona
104,Pepito,4.5,27,[34 - 66],Spanish,L'Eixample,47,"Passatge de Domingo, 3",08007 Barcelona
105,Tandoori Nights,4.5,48,under 11,Indian,El Raval,112,"Carrer de les Carretes, 44",08001 Barcelona
106,Eden,4.5,118,[12 - 33],Pizza,L'Eixample,673,,
107,Eden,4.5,118,[12 - 33],Pizza,L'Eixample,208,,
108,Botafumeiro,4.0,169,over 67,Seafood,Gràcia,32,"Carrer Gran de Gràcia, 81",08012 Barcelona
109,L’Amfora Barcelona,4.5,30,[34 - 66],Mediterranean,L'Eixample,98,"Avinguda del Paraŀlel, 184",08015 Barcelona
110,Los Pergaminos,4.5,84,[12 - 33],Tapas Bars,Barri Gòtic,11,,
111,La Pineda,4.5,24,[12 - 33],Spanish,Barri Gòtic,72,"Carrer del Pi, 16",08002 Barcelona
112,Restaurante Bodega Joan,4.0,35,[12 - 33],Tapas Bars,L'Eixample,168,"Carrer del Rosselló, 164",08036 Barcelona
113,Els Pollos de Llull,4.5,21,[12 - 33],Spanish,Parc i Llacuna del Poblenou,96,"Carrer de Ramon Turró, 13",08005 Barcelona
114,Bella Italia,4.5,9,[12 - 33],Italian,L'Eixample,4,"Carrer de Roger de Llúria, 87",08009 Barcelona
115,El Boliche del Gordo Cabrera,4.0,18,[12 - 33],Latin American,L'Eixample,52,"Carrer del Consell de Cent, 338",08009 Barcelona
116,La Fermata,4.5,56,under 11,Pizza,L'Eixample,185,"Carrer de Provença, 243",08008 Barcelona
117,El Xampanyet,4.5,279,[12 - 33],Tapas Bars,"Sant Pere, Santa Caterina i la Ribera-Born",39,"Carrer de Montcada, 22",08003 Barcelona
118,El Xampanyet,4.5,279,[12 - 33],Tapas Bars,"Sant Pere, Santa Caterina i la Ribera-Born",131,"Carrer de Montcada, 22",08003 Barcelona
119,Salterio,4.5,66,[12 - 33],Tea Rooms,Barri Gòtic,27,"Carrer de Sant Domènec del Call, 4",08002 Barcelona
120,Salterio,4.5,66,[12 - 33],Tea Rooms,Barri Gòtic,54,"Carrer de Sant Domènec del Call, 4",08002 Barcelona
121,Cremat 11,5.0,15,,Breakfast & Brunch,"Sant Pere, Santa Caterina i la Ribera-Born",31,"Carrer Cremat Gran, 11",08003 Barcelona
