Address,Latitude,Longitude
"Carrer de Blesa, 36 08004 Barcelona",41.3727801,2.1671863
"Carrer de Sant Agustí, 14 08012 Barcelona",41.3981543,2.1608245
"Carrer de les Basses de Sant Pere, 10 08003 Barcelona",41.3885955,2.1801379
"Travessera de Gràcia, 86 08006 Barcelona",41.3977625,2.1523596
"Carrer de Pamplona, 96 08018 Barcelona",41.3979343,2.190108
Diputació  340 08011 Barcelona,41.3961842,2.1750943
,,
"Carrer de l'Arc del Teatre, 11 08001 Barcelona",41.3776965,2.1747397
"Carrer de les Tàpies, 21 08001 Barcelona",41.3756323,2.1702975
"Carrer de Pamplona, 91 08018 Barcelona",41.3967448,2.1909529
"Carrer de Diputacio, 88 08015 Barcelona",41.3806826,2.1543452
"Carrer del Taquígraf Garriga, 106 08029 Barcelona",41.388437,2.1364981
"Carrer del Portal Nou, 23 08003 Barcelona",41.3887551,2.1806135
,,
Moll de Mestral 26 08005 Barcelona,41.3868772,2.1981182
"Carrer de Ferrer de Blanes, 3 08012 Barcelona",41.3983223,2.1591262
"Carrer de les Basses de Sant Pere, 12-14 08003 Barcelona",41.3886736,2.1799797
"Gran Via de les Corts Catalanes, 581 08011 Barcelona",41.3855248,2.1623904
"Carrer de la Dagueria, 20 08002 Barcelona",41.3830569,2.1783084
"Carrer de Margarit, 43 08004 Barcelona",41.3722673,2.1632329
"Carrer de Marià Cubí, 183 08021 Barcelona",41.395345,2.1448593
"Carrer de Pau Claris, 92 08010 Barcelona",41.3902431,2.1706795
"Carrer de Almogàvers, 116 08018 Barcelona",41.397068,2.1904152
"Carrer de Rossend Arús, 9 08014 Barcelona",41.3737059,2.1374671
"Carrer de Francisco Giner, 47 08012 Barcelona",41.3996972,2.1582915
"Carrer d'Aldana, 8 08015 Barcelona",41.3756142,2.1663035
"Plaça del Sol, 7-8 08012 Barcelona",41.4017726,2.1570201
"Carrer de Santaló, 34 08021 Barcelona",41.3955962,2.1460055
"Carrer de Sepúlveda, 186 08011 Barcelona",41.383578,2.1631779
"Carrer dels Escudellers, 28 08002 Barcelona",41.3799288,2.1767621
"Carrer Sant Antoni Maria Claret, 220 08025 Barcelona",41.4111936,2.1746214
"Carrer d'en Roca, 14 08002 Barcelona",41.3823851,2.1729732
"Calle Enamorats, 90 08026 Barcelona",41.4063415,2.1833251
"Carrer de Mallorca, 196 08036 Barcelona",41.390014,2.1578598
"Carrer del Poeta Cabanyes, 21 08004 Barcelona",41.3740988,2.1657277
"Carrer de I'Escorial, 117 08024 Barcelona",41.4083746,2.1601789
"Carrer del Cardenal Casanas, 4 08002 Barcelona",41.3815434,2.1735203
"Moll del Gregal, 1-3 08005 Barcelona",41.3891569,2.2005147
"Carrer dels Escudellers, 49 08002 Barcelona",41.3801125,2.1767965
"Carrer de Casanova, 96 08011 Barcelona",41.3870852,2.1568939
"Carrer d'Aribau, 154 08036 Barcelona",41.3922073,2.154464
"Carrer de Casp, 55 08010 Barcelona",41.3929766,2.1750943
"Carrer de Jesús, 16 08012 Barcelona",41.3991638,2.1580517
"Carrer Santa Eulàlia , 21 08012 Barcelona",41.4012834,2.1639237
"Carrer de Vallfogona, 10 08012 Barcelona",41.402778,2.1572074
"Carrer de Ferlandina, 24 08001 Barcelona",41.3819549,2.1653742
"Carrer del Pintor Fortuny, 15 08001 Barcelona",41.3829589,2.1699834
"Carrer Matilde, 7 08012 Barcelona",41.4004473,2.1568716
"Carrer de Mozart, 16 08012 Barcelona",41.3993537,2.1583587
"Carrer de Riego, 29 08014 Barcelona",41.376722,2.1382922
"Carrer de la Mercè, 13 08002 Barcelona",41.3801215,2.1802772
"Carrer de la Riera Alta, 4-6 08001 Barcelona",41.3807434,2.1671671
Carrer d'Aribau 103 08036 Barcelona,41.3902745,2.1564782
