Address,Latitude,Longitude
Calle Santa Ana 18-20 08002 Barcelona,41.3851769,2.171716
Caspe 103 08013 Barcelona,41.3959771,2.1793415
"Calle Gran Via de Les Corts Catalanes, 605 08007 Barcelona",41.3890576,2.167148
"Carrer de Còrsega, 255 08036 Barcelona",41.3931895,2.1543484
"Passeig de Gracia, 33 08007 Barcelona",41.3908631,2.1657853
Avenida Josep Tarradellas 119-121 08029 Barcelona,41.3890596,2.1429652
"Carrer Carme, 25 08001 Barcelona",41.3823175,2.1704775
"Carrer de Pelai, 22 08001 Barcelona",41.3856969,2.1664138
"Carrer de la Legalitat, 10 08024 Barcelona",41.4076219,2.1596198
"Carrer de Muntaner, 505 08022 Barcelona",41.4031214,2.1370638
"La Rambla, 108 08002 Barcelona",41.3825813,2.1722943
"Carrer Sagristans, 13/17 08002 Barcelona",41.3853509,2.175647
"Plaça Palau, 19 08002 Barcelona",41.3819916,2.1839829
"Carrer Fontanella, 7 08010 Barcelona",41.3876803,2.1717388
"Carrer de Berruguete, 126 08035 Barcelona",41.4339684,2.1474832
"Carrer de Balmes, 142 08008 Barcelona",41.3940014,2.1569579
"Avinguda del Marquès de l'Argentera, 11 08003 Barcelona",41.3842534,2.1843323
"Avinguda Rius i Taulet, 1-3 08004 Barcelona",41.3724753,2.1550853
Paseo Taulat 278 08019 Barcelona,41.4099,2.2186
"Passeig Joan de Borbo, 54 08003 Barcelona",41.3770673,2.1888406
"Carrer de Mallorca, 216 08008 Barcelona",41.3910621,2.1593373
"Calle Ausias Marc, 109 08013 Barcelona",41.3954631,2.1808837
"Carrer Cardenal Reig, 11 08028 Barcelona",41.3775885,2.1136138
12 Carrer Nou de la Rambla 08001 Barcelona,41.3789033,2.1739175
"Carrer de la Ciutat de Granada, 99 08018 Barcelona",41.4009989,2.1944154
"Carrer de Mallorca, 178 08036 Barcelona",41.3890741,2.1565824
Santa Ana 20 08002 Barcelona,41.3852956,2.171631
"Passeig de Pujades, 11 08018 Barcelona",41.3900682,2.1845157
"Avenida del Maresme, 7 08940 Cornellà de Llobregat",41.3482465,2.0827231
"Passeig de Gracia, 84 08008 Barcelona",41.3946531,2.162478
"Passeig de Gràcia, 75 08008 Barcelona",41.3939082,2.1622556
"Carrer d'Aragó, 271 08007 Barcelona",41.3929045,2.1654015
Calle Muntaner 2 08011 Barcelona,41.3833294,2.1635413
"Carrer de Deu i Mata, 69 08029 Barcelona",41.3888902,2.1362928
"Passeig de Sant Antoni, 36-40 08014 Barcelona",41.377363,2.1385368
Barcelona 08001 Barcelona,41.3795863,2.1683571
"Gran Via de les Corts Catalanes, 543 08011 Barcelona",41.3834129,2.1598149
"Carrer de la Diputació, 346 08013 Barcelona",41.3964515,2.1754399
"Carrer Reva Palau, 2 08003 Barcelona",41.3837515,2.1834724
"Carrer Beltran i Rozpide, 7 08034 Barcelona",41.3893534,2.1209824
Campoamor 79 08031 Barcelona,41.4351406,2.1536769
Avinguda Diagonal 570 08021 Barcelona,41.3928822,2.1438566
"Plaça Carlos Ibanez, 3 08038 Barcelona",41.3703336,2.1713897
"Carrer de Castillejos, 340 08025 Barcelona",41.4106529,2.1731364
"Avinguda Generalitat de Catalunya, 2 08960 Sant Just Desvern",41.3772752,2.078967
"Avinguda del Marquès de l'Argentera, 4 08003 Barcelona",41.3837693,2.1846922
,,
