,name,rating,reviews,neighbourhood,price_range,street,postal_code,number_of_photos
0,Barceló Raval,4.5,56,El Raval,[12 - 33],"Rambla del Raval, 17 - 21",08001 Barcelona,157
1,Hotel 1898,4.5,76,El Raval,[34 - 66],"La Rambla, 109",08002 Barcelona,156
2,W Barcelona,4,176,Barceloneta,over 67,"Plaça de la Rosa dels Vents, 1",08039 Barcelona,464
3,Hotel Continental Barcelona,4.5,12,Barri Gòtic,under 11,"Paseo la Rambla, 138",08002 Barcelona,8
4,Pulitzer Barcelona,4,42,L'Eixample,[12 - 33],"Carrer Bergara, 8",08002 Barcelona,100
5,Le Méridien Barcelona,4,84,El Raval,[34 - 66],La Rambla 111,,161
6,Hotel Cotton House,4.5,47,L'Eixample,[34 - 66],"Gran Via de les Corts Catalanes, 670",08010 Barcelona,151
7,Hotel Ayre Roselon,4.5,7,L'Eixample,under 11,Rossello 390,,16
8,Hotel Majestic,4,40,L'Eixample,[34 - 66],"Passeig de Gracia, 68",08007 Barcelona,129
9,Renaissance Barcelona Hotel,4,53,L'Eixample,[34 - 66],"Pau Claris, 122",08009 Barcelona,197
10,Villa Emilia,5,25,L'Eixample,[12 - 33],"Carrer de Calàbria, 115",08015 Barcelona,94
11,Mandarin Oriental,4,40,L'Eixample,over 67,"Passeig de Gràcia, 38-40",08007 Barcelona,106
12,Hotel Jazz,4.5,22,L'Eixample,[12 - 33],"Pelai, 3, Eixample",08001 Barcelona,23
13,Hotel Europark,4.5,46,L'Eixample,[12 - 33],"Carrer d'Arago, 323",08009 Barcelona,105
14,Hotel Barcelona 1882,4.5,6,Gràcia,,"Carrer de Còrsega, 482",08025 Barcelona,37
15,Alma Barcelona,4.5,29,L'Eixample,[34 - 66],"Carrer de Mallorca, 271",08008 Barcelona,75
16,Novotel Barcelona City,4,13,Parc i Llacuna del Poblenou,[12 - 33],"Avenida Diagonal, 201",08018 Barcelona,21
17,Casa Fuster,4.5,24,Gràcia,over 67,"Passeig de Gràcia, 132",08008 Barcelona,49
18,The Barcelona EDITION,4,21,"Sant Pere, Santa Caterina i la Ribera-Born",[34 - 66],"Avinguda de Francesc Cambó, 14",08003 Barcelona,78
19,Hotel Barcelona Universal,4,41,El Raval,[12 - 33],"Avinguda Paral-lel, 76",08001 Barcelona,63
20,Hotel NH Collection Barcelona Gran Hotel Calderón,4,24,L'Eixample,[34 - 66],"Rambla de Catalunya, 26",08007 Barcelona,62
21,H10 Madison,5,16,Barri Gòtic,,"Carrer del Dr. Joaquim Pou, 2-4-6",08002 Barcelona,62
22,Claris,4,31,L'Eixample,[34 - 66],"Carrer Pau Claris, 150",08009 Barcelona,56
23,Alexandra Barcelona Hotel,4,45,L'Eixample,[34 - 66],"Carrer de Mallorca, 251",08008 Barcelona,159
24,Hilton Barcelona Hotel,3.5,46,Les Corts,[34 - 66],"Avinguda Diagonal, 589-591",08014 Barcelona,157
25,Hotel Duquesa de Cardona,4.5,32,Barri Gòtic,[34 - 66],"Passeig de Colom, 12",08002 Barcelona,84
26,Hotel Mercer,4.5,12,Barri Gòtic,[34 - 66],"Carrer dels Lledó, 7",08002 Barcelona,16
27,Casa Bonay,4.5,15,L'Eixample,[12 - 33],"Gran Via de Les Corts Catalanes, 700",08010 Barcelona,34
28,El Palace,4.5,20,L'Eixample,over 67,"Gran Via de les Corts Catalanes, 668",08010 Barcelona,71
29,Hotel Praktik,4.5,18,L'Eixample,[12 - 33],"Carrer de Provença, 279",08037 Barcelona,34
30,Hotel U232,4.5,29,L'Eixample,[12 - 33],"Carrer del Comte d'Urgell, 232",08036 Barcelona,54
31,Soho House,5,5,Barri Gòtic,over 67,"Plaça del Duc de Medinaceli, 4",08002 Barcelona,
32,Hotel Catalonia Born,4,11,"Sant Pere, Santa Caterina i la Ribera-Born",[12 - 33],"Calle Rec Comtal, 16",08003 Barcelona,6
