Address,Latitude,Longitude
"Carrer de Ramon Turró, 13 08005 Barcelona",41.3910248,2.1908749
"Carrer de Roger de Llúria, 87 08009 Barcelona",41.3951087,2.1660631
"Carrer del Consell de Cent, 338 08009 Barcelona",41.3929342,2.1683407
"Carrer de Provença, 243 08008 Barcelona",41.3940047,2.1603237
"Carrer de Montcada, 22 08003 Barcelona",41.3844025,2.1816598
"Carrer de Sant Domènec del Call, 4 08002 Barcelona",41.3825222,2.1760829
"Carrer Cremat Gran, 11 08003 Barcelona",41.3856044,2.1810658
"Passeig de Colom, 20 08002 Barcelona",41.3784789,2.1793752
"Carrer Creu Coberta, 58 08014 Barcelona",41.3753239,2.1453898
"Carrer de Girona, 17 08010 Barcelona",41.3915292,2.1750943
"Carrer d'Aragó, 231 08007 Barcelona",41.390363,2.1619743
"Carrer de Verdaguer i Callís, 4 08003 Barcelona",41.3869211,2.1762173
"Carrer del Consell de Cent, 313 08007 Barcelona",41.3893178,2.1631523
"Carrer Vila i Vila, 77 08004 Barcelona",41.3740854,2.1685298
"Carrer de Montcada, 22 08003 Barcelona",41.3844025,2.1816598
"Ronda de la Universitat, 20 08007 Barcelona",41.3868159,2.1676503
"Carrer de la Ribera, 18 08003 Barcelona",41.3857357,2.1852047
"Passatge de Simó, 18 08025 Barcelona",41.4044826,2.1734208
"Carrer del Torrent de les Flors, 71 08024 Barcelona",41.4066843,2.1595484
"Carrer de Casp, 22 08010 Barcelona",41.3892607,2.1709098
"Carrer de Girona, 162 08037 Barcelona",41.3995394,2.165152
,,
"Carrer de l'Argenteria, 62 08003 Barcelona",41.3834589,2.180891
"Carrer del Carme, 40 08001 Barcelona",41.3820018,2.1696242
"Carrer Banys Vells, 6 08003 Barcelona",41.3845481,2.1804156
"Carrer Aribau, 91 08036 Barcelona",41.3899194,2.157061
"Travessera de Grácia, 441 08025 Barcelona",41.4113773,2.1731756
"Carrer de la Mercè, 28 08002 Barcelona",41.3804545,2.180623
"Carrer Valencia, 143 08011 Barcelona",41.3872855,2.1559084
,,
"Carrer d'Aragó, 310 08009 Barcelona",41.3945865,2.1685298
"Carrer Roger de Flor, 303 08025 Barcelona",41.4050359,2.1640479
"Carrer de Rocafort, 70 08015 Barcelona",41.3786276,2.1544698
"Carrer de San Pau, 4 08001 Barcelona",41.3807909,2.1730484
"Carrer de Bonavista, 8 08012 Barcelona",41.3979822,2.1593599
