,name,rating,reviews,neighbourhood,price_range,street,postal_code
93,Avenida Palace,3.5,18,L'Eixample,over 67,"Calle Gran Via de Les Corts Catalanes, 605",08007 Barcelona
94,The Mirror Hotel,4,17,L'Eixample,[12 - 33],"Carrer de Còrsega, 255",08036 Barcelona
95,Equity Point Centric,3,11,L'Eixample,,"Passeig de Gracia, 33",08007 Barcelona
96,Hotel Medium Prisma,3.5,3,Les Corts,[12 - 33],Avenida Josep Tarradellas 119-121,08029 Barcelona
97,Hotel Curious,4.5,15,El Raval,[12 - 33],"Carrer Carme, 25",08001 Barcelona
98,Hotel Lleó,4,7,El Raval,[12 - 33],"Carrer de Pelai, 22",08001 Barcelona
99,Le Palacete,5,1,Gràcia,,"Carrer de la Legalitat, 10",08024 Barcelona
100,Hotel Catalonia 505,3,3,Sarrià - Sant Gervasi,[12 - 33],"Carrer de Muntaner, 505",08022 Barcelona
101,Ramblas 108,5,1,El Raval,[12 - 33],"La Rambla, 108",08002 Barcelona
102,Hotel Regencia Colon,4,8,Barri Gòtic,[12 - 33],"Carrer Sagristans, 13/17",08002 Barcelona
103,Hotel Del Mar,2.5,7,"Sant Pere, Santa Caterina i la Ribera-Born",under 11,"Plaça Palau, 19",08002 Barcelona
104,Room Mate Pau Hotel,4,9,L'Eixample,[12 - 33],"Carrer Fontanella, 7",08010 Barcelona
105,Alimara,2.5,8,Horta-Guinardó,[12 - 33],"Carrer de Berruguete, 126",08035 Barcelona
106,Hotel Catalonia Diagonal Centro,4,1,L'Eixample,[12 - 33],"Carrer de Balmes, 142",08008 Barcelona
107,Park Hotel,4.5,4,"Sant Pere, Santa Caterina i la Ribera-Born",over 67,"Avinguda del Marquès de l'Argentera, 11",08003 Barcelona
108,Hotel Crowne Plaza Fira Center,4.5,22,El Poble-sec,[34 - 66],"Avinguda Rius i Taulet, 1-3",08004 Barcelona
109,AC Hotel by Marriott Barcelona Forum,3,25,Diagonal Mar i Forum,[34 - 66],Paseo Taulat 278,08019 Barcelona
110,Hotel 54 Barceloneta,3.5,4,Barceloneta,[12 - 33],"Passeig Joan de Borbo, 54",08003 Barcelona
111,Hotel Balmes,4.5,8,L'Eixample,[12 - 33],"Carrer de Mallorca, 216",08008 Barcelona
112,Jorsu Catalana,,,L'Eixample,,"Calle Ausias Marc, 109",08013 Barcelona
113,Senator Barcelona,2.5,2,Les Corts,[34 - 66],"Carrer Cardenal Reig, 11",08028 Barcelona
114,Gaudi Hotel Barcelona,2.5,15,El Raval,,"Calle NOU de la Rambla, 12",08001 Barcelona
115,Gaudí,,,El Raval,,12 Carrer Nou de la Rambla,08001 Barcelona
116,Ibis,4.5,7,Parc i Llacuna del Poblenou,[12 - 33],"Carrer de la Ciutat de Granada, 99",08018 Barcelona
117,The Corner Hotel,4.5,17,L'Eixample,[12 - 33],"Carrer de Mallorca, 178",08036 Barcelona
118,Hotel Nouvel,3.5,16,Barri Gòtic,[12 - 33],Santa Ana 20,08002 Barcelona
119,Motel One,4,7,Parc i Llacuna del Poblenou,[12 - 33],"Passeig de Pujades, 11",08018 Barcelona
120,Campanile Barcelona Sud-Cornella,4,2,€€,,"Avenida del Maresme, 7",08940 Cornellà de Llobregat
121,Royal,4,7,L'Eixample,[12 - 33],"Passeig de Gracia, 84",08008 Barcelona
122,Monument Hotel,3.5,3,L'Eixample,,"Passeig de Gràcia, 75",08008 Barcelona
123,Room Mate Anna Hotel,4.5,9,L'Eixample,[12 - 33],"Carrer d'Aragó, 271",08007 Barcelona
124,Hotel Acta Splendid,3,3,L'Eixample,[12 - 33],Calle Muntaner 2,08011 Barcelona
125,NH Constanza,3,7,Les Corts,[34 - 66],"Carrer de Deu i Mata, 69",08029 Barcelona
126,AC Hotel by Marriott Sants,4,17,Sants,[12 - 33],"Passeig de Sant Antoni, 36-40",08014 Barcelona
127,hotels barcelona spain,4.5,3,El Raval,under 11,Barcelona,08001 Barcelona
128,Soho Barcelona,4,9,L'Eixample,[12 - 33],"Gran Via de les Corts Catalanes, 543",08011 Barcelona
129,Hostalin Barcelona,3,2,L'Eixample,,"Carrer de la Diputació, 346",08013 Barcelona
130,Casa Marcelo,5,1,"Sant Pere, Santa Caterina i la Ribera-Born",,"Carrer Reva Palau, 2",08003 Barcelona
131,AC Hotel by Marriott Victoria Suites,4.5,4,Les Corts,[12 - 33],"Carrer Beltran i Rozpide, 7",08034 Barcelona
132,Colors,2,1,Horta-Guinardó,,Campoamor 79,08031 Barcelona
133,Hesperia Presidente,4,14,Sarrià - Sant Gervasi,[34 - 66],Avinguda Diagonal 570,08021 Barcelona
134,Hotel Miramar,4,15,Montjuïc,over 67,"Plaça Carlos Ibanez, 3",08038 Barcelona
135,Hotel Medicis,4,2,Horta-Guinardó,[34 - 66],"Carrer de Castillejos, 340",08025 Barcelona
136,Hotel NH Porta Barcelona,4,1,€€,,"Avinguda Generalitat de Catalunya, 2",08960 Sant Just Desvern
137,Hotel Ciutadella Barcelona,3,3,"Sant Pere, Santa Caterina i la Ribera-Born",[12 - 33],"Avinguda del Marquès de l'Argentera, 4",08003 Barcelona
138,St. Christopher’s Inn,4,20,L'Eixample,,,
139,B Hotel,4.5,15,L'Eixample,[12 - 33],"Gran Via de les Corts Catalanes, 389-391",08015 Barcelona
140,Catalonia Barcelona Golf,3,1,Sarrià - Sant Gervasi,,,
141,Mihlton,5,1,L'Eixample,,,
142,Ilunion Almirante,3,6,€€,,,
143,Hotel Peninsular,4,8,El Raval,,,
144,Banys Oriental,4.5,13,"Sant Pere, Santa Caterina i la Ribera-Born",[12 - 33],,
145,Hotel Capri by Fraser,3.5,3,Parc i Llacuna del Poblenou,[12 - 33],,
146,Hotel Granados 83,4,25,L'Eixample,[34 - 66],,
147,Hotel Oasis,4,8,"Sant Pere, Santa Caterina i la Ribera-Born",[12 - 33],,
148,Ámister Art Hotel,4,8,L'Eixample,[12 - 33],,
149,Hotel Regina,3,8,L'Eixample,[34 - 66],,
150,St. Christopher’s Inn,4,20,L'Eixample,,,
151,Silken Concordia,4,10,El Poble-sec,[12 - 33],,
152,H10 Art Gallery,3,3,L'Eixample,[12 - 33],,
153,Gran Hotel Havana,4,12,L'Eixample,[12 - 33],,
154,AC Hotel by Marriott Som,3,6,Montjuïc,,,
155,Hotel Ciutat Barcelona,3.5,13,"Sant Pere, Santa Caterina i la Ribera-Born",[12 - 33],,
156,Tryp Apolo Hotel,3,35,El Poble-sec,[12 - 33],,
157,Franquesa Malaguti,,,L'Eixample,,,
158,Petit Palace Boqueria Garden,3.5,21,Barri Gòtic,[12 - 33],,
159,Hotel Casa Camper,4.5,30,El Raval,[34 - 66],,
160,Holiday Inn Express,3.5,15,Poblenou,[12 - 33],,
161,Siete Cero DOS Limpiezas Gestionadas,,,L'Eixample,,,
162,Hotel Apsis Porta Marina,4,1,Parc i Llacuna del Poblenou,[12 - 33],,
163,Hotel Catalonia,3,7,El Raval,[34 - 66],,
164,Banquetes Reunidos,,,Sarrià - Sant Gervasi,,,
165,Fonda Espanya,4.5,10,El Raval,over 67,"Carrer de Sant Pau, 9",08001 Barcelona
166,Exe Laietana Palace,2.5,7,Barri Gòtic,[34 - 66],"Via Laietana, 17",08003 Barcelona
167,Hotel H10,4.5,7,L'Eixample,[12 - 33],"Plaça d'Urquinaona, 2",08010 Barcelona
168,H10 Metropolitan,4,4,L'Eixample,[34 - 66],"Rambla de Catalunya, 7-9",08007 Barcelona
169,Hotel Ohla Eixample,4,5,L'Eixample,[34 - 66],"Carrer de Còrsega, 289",08008 Barcelona
170,Well and Come,5,3,L'Eixample,[34 - 66],"Carrer de Girona, 168",08037 Barcelona
171,Hotel La Casa del Sol,5,2,Gràcia,[12 - 33],"Plaça del Sol, 23",08012 Barcelona
172,Meliá Barcelona,4,19,Les Corts,[34 - 66],"Avinguda de Sarrià, 50",08029 Barcelona
173,Hotel Del Compte,4,2,L'Eixample,under 11,"Calle Diputacio, 142 - 144",08015 Barcelona
174,NH Eixample,3,7,L'Eixample,under 11,"Carrer de València, 105-107",08011 Barcelona
175,HCC Montblanc,3,12,Barri Gòtic,[12 - 33],"Via Laietana, 61",08003 Barcelona
176,Hotel Bagués,5,8,El Raval,over 67,"La Rambla, 105",08002 Barcelona
177,Hotel Porta Fira,4,27,€€,,"Plaza Europa, 45",08908 Hospitalet de Llobregat
178,Santa Marta,5,2,"Sant Pere, Santa Caterina i la Ribera-Born",[12 - 33],"Carrer del General Castaños, 14",08003 Barcelona
179,Petit Palace Museum,3.5,5,L'Eixample,[34 - 66],"Carrer de la Diputació, 250",08007 Barcelona
180,Two Hotel,4.5,17,L'Eixample,[12 - 33],"Carrer de Calàbria, 90-92",08015 Barcelona
181,Ibis Barcelona Centro,4,6,L'Eixample,,"Carrer Napoles, 230",08013 Barcelona
182,Ficfrei,,,Parc i Llacuna del Poblenou,,"Paseo Pujades, 17",08018 Barcelona
183,H10 Cubik,4,16,Barri Gòtic,[34 - 66],"Via Laietana, 69",08003 Barcelona
184,Fedasosa,,,,,"Calle Maladeta, 51",08950 Esplugues De Llobregat
185,Hotel Advance,5,4,L'Eixample,[12 - 33],Calle de Sepúlveda 180,08011 Barcelona
186,Praktik Garden,3.5,13,L'Eixample,[12 - 33],"Carrer de la Diputació, 325",08009 Barcelona
187,Hotel Barcelona House,2,13,Barri Gòtic,[12 - 33],"Carrer Escudellers, 19",08002 Barcelona
188,Hotel NH Barcelona Les Corts,3.5,2,Les Corts,,"Travessera de les Corts, 292",08029 Barcelona
189,Four Points by Sheraton Barcelona Diagonal,4,26,Poblenou,[12 - 33],"Avenida Diagonal, 161",08018 Barcelona
190,Four Points by Sheraton Barcelona Diagonal,4,26,Poblenou,[12 - 33],"Avenida Diagonal, 161",08018 Barcelona
191,Hotel Apsis Sant Angelo,5,1,L'Eixample,under 11,Consejo de Ciento 74,08015 Barcelona
192,ABaC Hotel,5,4,Sarrià - Sant Gervasi,over 67,"Avinguda del Tibidabo, 1",08022 Barcelona
193,"Hotel Nuñez Urgel Comte D’urgell, 232",,,L'Eixample,,"C Comte D'urgell, 232",08036 Barcelona
194,Silken Sant Gervasi,4,5,Sarrià - Sant Gervasi,[12 - 33],"Carrer Sant Gervasi de Cassoles, 26",08022 Barcelona
195,Wilson,5,10,Sarrià - Sant Gervasi,[12 - 33],"Avinguda Diagonal, 568",08021 Barcelona
196,Hostemplo,,,L'Eixample,,"Paseo Mallorca, 362",08013 Barcelona
197,Gestion Hotelera Ballester,,,L'Eixample,,"C Valencia, 154",08011 Barcelona
198,Hotel Pelayo,4,1,L'Eixample,under 11,"Calle Pelai, 9 - 1 1",08001 Barcelona
199,Sunotel BCN,1,2,L'Eixample,[12 - 33],"Calle Gran VIA de LES Corts Catalanes, 570",08011 Barcelona
200,Acta Mimic,3,7,El Raval,,C/ Arc del Teatre 58,08001 Barcelona
201,Marin Gonzalez Gabriel,,,L'Eixample,,"Calle Corsega, 200",08036 Barcelona
202,Hotel America,4.5,7,L'Eixample,[12 - 33],Calle ProvenÇa 195,08008 Barcelona
203,Hotel Abba Garden,3.5,3,€,,"Carrer de Santa Rosa, 33",08950 Barcelona
204,Hotel Catalonia Portal de l’Angel,4,5,Barri Gòtic,[34 - 66],"Portal de l'Àngel,17",08002 Barcelona
205,City Park Hotel Sant Just,,,,,Carretera Reial A 0,08960 Sant Just Desvern
206,Mercer Hoteles,5,1,"Sant Pere, Santa Caterina i la Ribera-Born",[34 - 66],"Calle Boria, 24",08003 Barcelona
207,Hotel Reding,4,10,El Raval,[12 - 33],"Calle Gravina, 5",08001 Barcelona
208,Acta BCN 40,5,2,El Raval,,c/ Joaquin Costa 40,08001 Barcelona
209,OD Barcelona,5,5,L'Eixample,,"Carrer d'Aragó, 300",08009 Barcelona
210,Acta BCN 40,5,2,El Raval,,c/ Joaquin Costa 40,08001 Barcelona
211,OD Barcelona,5,5,L'Eixample,,"Carrer d'Aragó, 300",08009 Barcelona
212,Pullman,4,22,Barceloneta,[34 - 66],"Avinguda del Litoral, 10",08005 Barcelona
213,Hotel NH Barcelona Entenza,4.5,3,Les Corts,under 11,"Carrer de l'Equador, 20",08029 Barcelona
214,Hoteles Solvasa,1,1,L'Eixample,,Plaza Dr. Letamendi 37,08007 Barcelona
215,Hotel Ibis,3,2,€€,,"Avinguda de la Pallaresa, 73",08921 Santa Coloma de Gramenet
216,Fairmont Rey Juan Carlos I,4,29,Les Corts,[34 - 66],"Avinguda Diagonal, 661",08028 Barcelona
217,Intown Europe,,,"Sant Pere, Santa Caterina i la Ribera-Born",,"Calle Carders, 6",08003 Barcelona
218,Rey Don Jaime I,1.5,3,Barri Gòtic,under 11,"C Jaume I, 11",08002 Barcelona
219,Vincci Gala 4,4.5,7,L'Eixample,[12 - 33],"Ronda Sant Pere, 32",08010 Barcelona
220,H10 Montcada,4,19,"Sant Pere, Santa Caterina i la Ribera-Born",[34 - 66],"Via Laietana, 24",08003 Barcelona
221,Almanac,5,7,L'Eixample,,"Gran Via de les Corts Catalanes, 619",08007 Barcelona
222,Hotel Denit,3.5,17,Barri Gòtic,[12 - 33],"Carrer d'Estruc, 24 - 26",08002 Barcelona
223,Hotel Midmost,3.5,9,El Raval,[12 - 33],"Carrer Pelai, 14",08001 Barcelona
