,name,neighbourhood,price_range,review_count,category
104,Los Pergaminos,Barri Gòtic,€€€,84,Gastropubs
105,La Pineda,Barri Gòtic,€€,24,Catalan
106,Restaurante Bodega Joan,L'Eixample,€€,35,Spanish
107,Els Pollos de Llull,Parc i Llacuna del Poblenou,€,21,Spanish
108,Bella Italia,L'Eixample,€€,9,Gastropubs
109,El Boliche del Gordo Cabrera,L'Eixample,€€,18,Tapas Bars
110,La Fermata,L'Eixample,€€,56,Arroceria / Paella
111,El Xampanyet,"Sant Pere, Santa Caterina i la Ribera-Born",€€,279,Tapas Bars
112,La Paradeta,"Sant Pere, Santa Caterina i la Ribera-Born",€€,155,Cocktail Bars
113,Salterio,Barri Gòtic,€,66,Spanish
114,Cremat 11,"Sant Pere, Santa Caterina i la Ribera-Born",€€,15,Tapas Bars
115,Cecconi’s,Barri Gòtic,€,26,Spanish
116,Rosat’s,Sants,€,2,Bars
117,Eden,L'Eixample,€€,118,Mediterranean
118,Pirineu en Boca,L'Eixample,€€,14,Bars
119,Gaudim,L'Eixample,€,53,Italian
120,El Xampanyet,"Sant Pere, Santa Caterina i la Ribera-Born",€€,279,Spanish
121,Le Cucine Mandarosso,"Sant Pere, Santa Caterina i la Ribera-Born",€€€,73,Mediterranean
122,Bella Istanbul,L'Eixample,€,2,Breakfast & Brunch
123,Abirradero,El Poble-sec,€€,27,Cafeteria
124,Paella Bar,El Raval,€,44,Spanish
125,Cremat 11,"Sant Pere, Santa Caterina i la Ribera-Born",€,15,Tapas Bars
126,Pirineu en Boca,L'Eixample,€,14,Mediterranean
127,Salterio,Barri Gòtic,€€,66,Spanish
128,Bodega La Puntual,"Sant Pere, Santa Caterina i la Ribera-Born",€€,57,Catalan
129,The Ranch Smokehouse,L'Eixample,€€,9,Spanish
130,Alsur Café & Backdoor Bar,"Sant Pere, Santa Caterina i la Ribera-Born",€€,20,Lounges
131,La Paradeta,L'Eixample,€,206,Tapas Bars
132,Lluritu,Gràcia,€€,5,Spanish
133,Bonavida,L'Eixample,€€,10,Beer Bar
134,Morryssom,L'Eixample,€,54,Mediterranean
135,La Esquina,L'Eixample,€€,31,Steakhouses
136,Sagardi BCN Gòtic,"Sant Pere, Santa Caterina i la Ribera-Born",€,125,Seafood
137,Mastica,El Raval,€,6,Spanish
138,Bar Rubí,"Sant Pere, Santa Caterina i la Ribera-Born",€€,38,Chinese
139,Foc i Oli,L'Eixample,€€,91,Tapas Bars
140,Bell e Buon,Horta-Guinardó,€€,30,Spanish
141,La Plata,Barri Gòtic,€€,126,Middle Eastern
142,Roast Club Cafe,L'Eixample,€€,16,Syrian
143,Brasayleña,Parc i Llacuna del Poblenou,€€€,2,Asian Fusion
144,Somewhere,L'Eixample,€,28,Dim Sum
145,Can Ros,Gràcia,€,10,Beer Bar
146,The Fish & Chips Shop,L'Eixample,€€,44,Spanish
147,Tabarlot,El Raval,€€€,44,Tapas Bars
148,Bar But,Gràcia,€€,11,Bars
149,Bacaro,El Raval,€€,19,Tapas Bars
150,Zarautz,Sants,€€,122,Wine Bars
151,Sol Soler,Gràcia,€€,56,Tapas/Small Plates
152,Amarre 69,Barceloneta,€,14,Breakfast & Brunch
153,Uma,L'Eixample,€€€,16,Juice Bars & Smoothies
154,Brunch & Cake,L'Eixample,€€€€,54,Breakfast & Brunch
155,TAPS,El Poble-sec,€€€,31,Cafeteria
156,Bodega La Palma,Barri Gòtic,€,37,Burgers
157,El Brunch del Majestic,L'Eixample,€€€€,1,Spanish
158,Rosat’s,Sants,€€,2,Basque
159,Viet Kitchen,L'Eixample,€€€€,5,Tapas/Small Plates
160,Hänsel,L'Eixample,€€,73,Tapas Bars
161,Maestró,L'Eixample,€€,33,Breakfast & Brunch
162,210 Grammi,Parc i Llacuna del Poblenou,€,2,Wine Bars
163,Pulpería A Gudiña,L'Eixample,€€,46,Spanish
164,Miño,El Raval,€€,194,Breakfast & Brunch
165,Café Emma,L'Eixample,€,30,Vegan
166,Marina Bay,La Vila Olímpica,€€,35,Italian
167,El Chigre 1769,"Sant Pere, Santa Caterina i la Ribera-Born",€,25,American (Traditional)
168,Macchina,Gràcia,€,82,Spanish
169,Taverna Iberia,Barceloneta,€€,20,Cocktail Bars
170,Maccaroni,"Sant Pere, Santa Caterina i la Ribera-Born",€,57,Breakfast & Brunch
171,Pizzeria Da Nanni,Barri Gòtic,€€,22,Chinese
172,Informal,Barri Gòtic,€,27,Italian
173,El Bitxo,"Sant Pere, Santa Caterina i la Ribera-Born",€€,44,Modern European
174,Cinco Jotas,L'Eixample,€€,15,Salad
175,Ribs,Sarrià - Sant Gervasi,€€€,3,Breakfast & Brunch
176,Agust,L'Eixample,€€,44,Italian
177,La Taverna de L’Eixample,L'Eixample,€€€,12,Peruvian
178,9 Reinas,L'Eixample,€€,53,Breakfast & Brunch
179,Sintonia,L'Eixample,€€€,2,Pizza
180,Honest Greens,L'Eixample,€€€€,22,Italian
181,Estimar,"Sant Pere, Santa Caterina i la Ribera-Born",€€,19,Breakfast & Brunch
182,CDLC,Barceloneta,€,87,Juice Bars & Smoothies
183,173,El Poble-sec,€€€,4,Chinese
184,Mazah,L'Eixample,€,10,Tapas Bars
185,Viena,El Raval,€€€,72,Breakfast & Brunch
186,Angle,L'Eixample,€,15,Mexican
187,La Cova Fumada,Barceloneta,€€,118,Seafood
188,Solomillo,L'Eixample,€,10,Cocktail Bars
189,Obe Restaurant,"Sant Pere, Santa Caterina i la Ribera-Born",€,35,Tapas Bars
190,Thai Zaap,L'Eixample,€€,7,Seafood
191,Els Sortidors del Parlament,L'Eixample,€€€,18,Seafood Markets
192,Red Ant,"Sant Pere, Santa Caterina i la Ribera-Born",€€€€,66,Mediterranean
193,Alaire,L'Eixample,€€,6,Spanish
194,Season Tapas Restaurante,L'Eixample,€,5,Breakfast & Brunch
195,Kamasot,L'Eixample,€€,9,Tapas Bars
196,Modu Korean Bowl,Gràcia,€€€,7,Cocktail Bars
197,Lonja de Tapas,Barri Gòtic,€€,23,Mediterranean
198,PORK… boig per tu,"Sant Pere, Santa Caterina i la Ribera-Born",€€,34,Spanish
199,Norte,L'Eixample,€€,9,Signature Cuisine
