,name,rating,category,neighbourhood,reviews,price_range,number_of_photos,street,postal_code
51,Big Bang Bar,4,Pubs,El Raval,10,under 11,43,"Plaça d'Urquinaona, 4",08010 Barcelona
52,Maestró,4,Beer Bar,L'Eixample,33,[12 - 33],119,"La Rambla, 91",08002 Barcelona
53,Belchica,3.5,Pubs,L'Eixample,8,[12 - 33],23,"Carrer de Rabassa, 37",08024 Barcelona
54,Xpressing Underground Club,4,Pubs,L'Eixample,1,[12 - 33],9,"Carrer del Rec Comtal, 11",08003 Barcelona
55,Lunatic,4.5,Pubs,Les Corts,5,[12 - 33],9,"Carrer dels Tallers, 74",08001 Barcelona
56,Temple Bar,3.5,Pubs,Barri Gòtic,21,under 11,29,"Carrer de Pau Claris, 118",08009 Barcelona
57,Ina,4.5,Cocktail Bars,"Sant Pere, Santa Caterina i la Ribera-Born",6,under 11,10,"Carrer d'en Gignàs, 21",08002 Barcelona
58,Espai d’Art Tinta Roja,3.5,Performing Arts,El Poble-sec,9,[12 - 33],11,"Carrer del Consell de Cent, 378",08009 Barcelona
59,Mojito Rock,4,Music Venues,El Raval,11,under 11,5,"Passatge de Pere Calders, 6",08015 Barcelona
60,Mingus,4,Dive Bars,Barri Gòtic,15,[12 - 33],15,"Plaça de Sant Pere, 5",08003 Barcelona
61,Black Lab,4,Burgers,Barceloneta,83,[12 - 33],172,"Carrer de Roger de Llúria, 50",08009 Barcelona
62,Stereo,4.5,Pubs,El Poble-sec,2,under 11,11,"Via Laietana, 46",08003 Barcelona
63,Two Schmucks,5,Cocktail Bars,El Raval,17,[12 - 33],29,"Carrer de Sant Domenec del Call, 14",08002 Barcelona
64,Bodega,5,Dive Bars,"Sant Pere, Santa Caterina i la Ribera-Born",5,under 11,11,"Passatge de Domingo, 3",08007 Barcelona
65,El Vaso de Oro,4.5,Tapas Bars,Barceloneta,178,[12 - 33],359,"Carrer de les Carretes, 44",08001 Barcelona
66,Cheers,3,Pubs,Barri Gòtic,16,under 11,4,"Carrer Gran de Gràcia, 81",08012 Barcelona
67,Belice Cocktail Bar,5,Cocktail Bars,Sarrià - Sant Gervasi,2,[12 - 33],8,"Avinguda del Paraŀlel, 184",08015 Barcelona
68,La Cervesera Artesana,4,Breweries,Gràcia,37,[12 - 33],34,"Carrer del Pi, 16",08002 Barcelona
69,Ale&Hop,4.5,Vegan,"Sant Pere, Santa Caterina i la Ribera-Born",43,under 11,106,"Carrer del Rosselló, 164",08036 Barcelona
70,Hendrix,4.5,Burgers,Sarrià - Sant Gervasi,2,under 11,9,"Carrer de Ramon Turró, 13",08005 Barcelona
71,Sonora,3,Pubs,Parc i Llacuna del Poblenou,20,under 11,21,"Carrer de Roger de Llúria, 87",08009 Barcelona
72,Kentucky,4,Pubs,El Raval,13,[12 - 33],15,"Carrer de Montcada, 22",08003 Barcelona
73,Bloody Mary,4.5,Cocktail Bars,Gràcia,9,[12 - 33],54,"Carrer del Consell de Cent, 313",08007 Barcelona
74,Paspartú,5,Pubs,"Sant Pere, Santa Caterina i la Ribera-Born",10,[12 - 33],8,"Carrer Vila i Vila, 77",08004 Barcelona
75,Kahiki,2.5,Pubs,L'Eixample,7,[34 - 66],7,"Carrer de Montcada, 22",08003 Barcelona
76,Zim,4.5,Wine Bars,Barri Gòtic,10,[12 - 33],5,"Ronda de la Universitat, 20",08007 Barcelona
77,Cervecería Jazz,4.5,Tapas Bars,El Poble-sec,10,[34 - 66],13,"Carrer de la Ribera, 18",08003 Barcelona
78,Bubblic,4,Pubs,Sarrià - Sant Gervasi,5,[12 - 33],8,"Carrer del Torrent de les Flors, 71",08024 Barcelona
79,Bobby Gin,4.5,Cocktail Bars,Gràcia,54,[12 - 33],77,"Carrer de l'Argenteria, 62",08003 Barcelona
80,Filomena,4.5,Gastropubs,L'Eixample,7,[12 - 33],36,"Carrer del Carme, 40",08001 Barcelona
81,Filomena,4.5,Gastropubs,L'Eixample,7,[12 - 33],36,"Carrer del Carme, 40",08001 Barcelona
82,La Principal,3.5,Breakfast & Brunch,L'Eixample,16,under 11,41,"Travessera de Grácia, 441",08025 Barcelona
83,Tequila 44,4,Pubs,Barri Gòtic,12,[12 - 33],23,"Carrer de la Mercè, 28",08002 Barcelona
84,Coctelería Cooler,4,Cocktail Bars,L'Eixample,12,[12 - 33],40,"Carrer Roger de Flor, 303",08025 Barcelona
85,El Rouge,4,Pubs,El Poble-sec,4,[34 - 66],9,"Carrer de Rocafort, 70",08015 Barcelona
86,El Rouge,4,Pubs,El Poble-sec,4,[34 - 66],9,"Carrer de Rocafort, 70",08015 Barcelona
87,Inch Bar,4.5,Pubs,Gràcia,11,under 11,11,"Carrer de San Pau, 4",08001 Barcelona
88,Bar International Beer,2.5,Spanish,Barri Gòtic,16,under 11,30,"Carrer de Bonavista, 8",08012 Barcelona
89,Marula Café,4,Dance Clubs,Barri Gòtic,18,[12 - 33],17,"Carrer de l'Elisi, 13",08014 Barcelona
90,Le Cyrano,4,Pubs,L'Eixample,9,under 11,4,"Paseo Juan de Borbón, 69",08003 Barcelona
91,Bar Fidel,4.5,Bars,El Raval,17,under 11,18,"Carrer d'Aribau, 137",08036 Barcelona
92,La Gorda,4,Beer Bar,Sants,1,[12 - 33],5,"Carrer d'Entença, 2",08015 Barcelona
93,La República,4,Argentine,Barri Gòtic,16,[12 - 33],64,"Calle del Carme, 19",08001 Barcelona
94,Marmalade,4,Lounges,El Raval,68,[12 - 33],125,"Carrer de Pau Claris, 142",08009 Barcelona
95,Colombo,4,Pubs,Barceloneta,7,[12 - 33],11,"Carrer dels Sombrerers, 7",08003 Barcelona
96,Versailles,4.5,Gay Bars,L'Eixample,4,under 11,17,"Carrer de l'Almirall Churruca, 4",08003 Barcelona
97,Ginger,4,Cocktail Bars,Barri Gòtic,9,[12 - 33],21,"Carrer de la Plata, 4",08002 Barcelona
98,Milk Bar & Bistro,4.5,American (Traditional),Barri Gòtic,431,[12 - 33],649,Carrer de Verdaguer i Callís 9,08003 Barcelona
99,Butyklan,3.5,Pubs,L'Eixample,7,[12 - 33],6,"Carrer de Doctor Fleming, 10",08017 Barcelona
100,The Fastnet,3.5,Gastropubs,Barceloneta,8,under 11,6,"Gran Via de les Corts Catalanes, 688",08010 Barcelona
101,The Fastnet,3.5,Gastropubs,Barceloneta,8,under 11,6,"Gran Via de les Corts Catalanes, 688",08010 Barcelona
102,Síncopa,3.5,Pubs,Barri Gòtic,9,[12 - 33],12,"Carrer de Sant Antoni dels Sombrerers, 3",08003 Barcelona
103,Alfa Bar,4,Pubs,Gràcia,6,[12 - 33],11,"Passeig Marítim de la Barceloneta, 32",08003 Barcelona
104,Sensi,4.5,Tapas/Small Plates,Barri Gòtic,377,[12 - 33],681,"Carrer del Baluard, 56",08003 Barcelona
105,Rabipelao,3.5,Pubs,Barri Gòtic,9,under 11,17,"Carrer de Mallorca, 251",08008 Barcelona
106,La Bodeguita Bright,4.5,Pubs,L'Eixample,4,under 11,48,"Plaça Santa Caterina, 1",08003 Barcelona
107,Bar Mut,4.5,Wine Bars,L'Eixample,149,[34 - 66],294,"Carrer del Parlament, 53",08015 Barcelona
108,Caribbean Club,5,Cocktail Bars,El Raval,11,[34 - 66],18,"Carrer d'Aribau, 125",08036 Barcelona
109,Gracia Latina,3.5,Pubs,Gràcia,4,[12 - 33],13,"Carrer Minerva, 8",08006 Barcelona
110,33/45,4,Pubs,El Raval,17,under 11,11,"Carrer de Jaume I, 8-10",08002 Barcelona
111,33/45,4,Pubs,El Raval,17,under 11,11,"Carrer de Jaume I, 8-10",08002 Barcelona
112,Pesca Salada,4.5,Cocktail Bars,El Raval,12,[12 - 33],10,"Carrer de la Diputació, 321",08009 Barcelona
113,Nello’s,2,Burgers,L'Eixample,5,[12 - 33],14,"Carrer de València, 352",08009 Barcelona
114,Kaizen Afterwork,5,Cocktail Bars,Poblenou,1,[12 - 33],28,"Carrer d'Entença, 57",08015 Barcelona
115,Manchester,3.5,Music Venues,Barri Gòtic,9,under 11,6,"Carrer de Montcada, 2",08003 Barcelona
116,Bar Malasang,4.5,Catalan,L'Eixample,10,[12 - 33],24,"Carrer d'Elisabets, 2",08001 Barcelona
117,Mandri,4,Tapas Bars,Sarrià - Sant Gervasi,12,[12 - 33],10,"Passeig de Joan de Borbó, 101",08039 Barcelona
118,Els Tres Porquets,4,Spanish,Sant Martí,9,[34 - 66],114,"Gran Via de les Corts Catalanes, 667",08010 Barcelona
119,Quilombo,4,Karaoke,L'Eixample,8,[12 - 33],5,"Carrer Nou de la Rambla, 105",08001 Barcelona
120,Pastís,3.5,Pubs,El Raval,6,[12 - 33],4,"Rambla de Catalunya, 12",08007 Barcelona
121,Opera Samfaina,4,Pubs,El Raval,11,[12 - 33],65,"Carrer de la Diputació, 375",08013 Barcelona
122,Black Velvet,4,Lounges,El Poble-sec,1,[12 - 33],10,"Carrer de la Diputació, 269",08007 Barcelona
123,Thales,3.5,Dive Bars,Barri Gòtic,8,under 11,14,"Carrer del Consell de Cent, 339",08007 Barcelona
124,Homo Sibaris,4,Spanish,Sants,27,under 11,49,"Carrer de Tamarit, 142",08015 Barcelona
125,El Circulo,5,Pubs,"Sant Pere, Santa Caterina i la Ribera-Born",1,[12 - 33],11,"Carrer de Ramon Trias Fargas, 2",08005 Barcelona
